icb_code3,icb_name3
0530,Sản xuất Dầu khí
0570,"Thiết bị, Dịch vụ và Phân phối Dầu khí"
1350,Hóa chất
1730,Lâm nghiệp và Giấy
1750,Kim loại
1770,Khai khoáng
2350,Xây dựng và Vật liệu
2720,Hàng công nghiệp
2730,Điện tử & Thiết bị điện
2750,Công nghiệp nặng
2770,Vận tải
2790,Tư vấn & Hỗ trợ Kinh doanh
3350,Ô tô và phụ tùng
3530,Bia và đồ uống
3570,Sản xuất thực phẩm
3720,Hàng gia dụng
3740,Hàng hóa giải trí
3760,Hàng cá nhân
3780,Thuốc lá
4530,Thiết bị và Dịch vụ Y tế
4570,Dược phẩm
5330,Phân phối thực phẩm & dược phẩm
5370,Bán lẻ
5550,Truyền thông
5750,Du lịch & Giải trí
6530,Viễn thông cố định
6570,Viễn thông di động
7530,Sản xuất & Phân phối Điện
7570,Nước & Khí đốt
8350,Ngân hàng
8530,Bảo hiểm phi nhân thọ
8570,Bảo hiểm nhân thọ
8630,Bất động sản
8770,Dịch vụ tài chính
9530,Phần mềm & Dịch vụ Máy tính
9570,Thiết bị và Phần cứng
